Time,SM,TMP,P,LST,NDVI,RefET
2002-07-01,,,,,,
2002-07-11,,,,,,
2002-07-21,,,,,,
2002-08-01,,,,,,
2002-08-11,,,,,,
2002-08-21,,,,,,
2002-09-01,,,,,,
2002-09-11,,,,,,
2002-09-21,,,,,,
2002-10-01,,,,,,
2002-10-11,,,,,,
2002-10-21,,,,,,
2002-11-01,,,,,,
2002-11-11,,,,,,
2002-11-21,,,,,,
2002-12-01,,,,,,
2002-12-11,,,,,,
2002-12-21,,,,,,
2003-01-01,0.2879396677017212,32.775997161865234,4.338099479675293,33.04740524291992,171.058837890625,47.3321647644043
2003-01-11,0.2280057370662689,33.600589752197266,1.894485116004944,36.264869689941406,164.6072235107422,48.293128967285156
2003-01-21,0.19880343973636627,35.169151306152344,2.019573450088501,40.26791763305664,156.67591857910156,56.33444595336914
2003-02-01,0.17841847240924835,35.95850372314453,1.6153559684753418,43.06959533691406,148.93917846679688,54.03805160522461
2003-02-11,0.20321767032146454,36.13328552246094,7.390793800354004,43.21240234375,143.03329467773438,53.0425796508789
2003-02-21,0.1824239045381546,36.04840087890625,2.399409055709839,43.32453155517578,140.22682189941406,45.47805404663086
2003-03-01,0.16765084862709045,36.18063735961914,6.094681739807129,43.80838394165039,140.25833129882812,56.48104476928711
2003-03-11,0.15932229161262512,36.59905624389648,5.475510120391847,43.29742431640625,141.3492431640625,56.78557205200195
2003-03-21,0.2241511344909668,34.220226287841804,38.43973922729492,41.24577331542969,142.7002410888672,53.6681137084961
2003-04-01,0.255484014749527,35.76434326171875,31.93553924560547,39.20696640014648,144.95802307128906,53.36448287963867
2003-04-11,0.2148302793502808,34.970497131347656,55.61220932006836,43.67826461791992,149.362548828125,50.92477798461914
2003-04-21,0.3492581844329834,31.529376983642575,140.16474914550778,33.305526733398445,156.49862670898438,39.460845947265625
2003-05-01,0.3889538645744324,31.77155494689941,64.73494720458984,32.93075561523437,164.97300720214844,38.13951873779297
2003-05-11,0.3060396313667297,32.525909423828125,30.91004753112793,31.28486251831055,169.10467529296875,45.94451904296875
2003-05-21,0.24293780326843264,31.649059295654297,17.308391571044922,30.17860412597656,168.77789306640625,42.249488830566406
2003-06-01,0.20870128273963928,31.63826560974121,1.9494000673294067,34.896533966064446,164.98228454589844,44.19103240966797
2003-06-11,0.18962129950523374,30.652729034423828,0.5268338918685913,33.40826797485352,157.8950958251953,44.96515274047852
2003-06-21,0.1747593879699707,30.63215255737305,0.5786500573158264,33.323047637939446,149.86697387695312,45.59803009033203
2003-07-01,0.1661440134048462,29.56450843811035,1.6450122594833374,36.57331466674805,143.80723571777344,45.39995574951172
2003-07-11,0.16019369661808014,30.10239601135254,2.362706661224365,37.59029006958008,139.70610046386722,48.25279235839844
2003-07-21,0.17050500214099884,31.623743057250977,1.883062601089477,39.19928741455078,137.29278564453122,55.44873046875
2003-08-01,0.1747031956911087,29.3131160736084,4.789040565490723,34.581680297851555,135.75332641601562,49.24057388305664
2003-08-11,0.20156805217266086,30.83534812927246,2.7579047679901123,41.098716735839844,134.78604125976562,52.149497985839844
2003-08-21,0.1774190068244934,29.993261337280273,2.4213387966156006,42.1169319152832,134.43113708496094,57.19671249389648
2003-09-01,0.17817732691764832,31.766489028930664,0.005925526842474938,40.85268783569336,134.4849853515625,59.34901809692383
2003-09-11,0.16526614129543304,32.607940673828125,0.005490877665579319,42.60064697265625,134.64697265625,61.64581680297852
2003-09-21,0.15833918750286102,33.115684509277344,1.5595434904098509,43.70483016967773,134.41563415527344,61.75543594360352
2003-10-01,0.15421120822429654,33.978771209716804,9.194801330566406,44.21147537231445,134.45956420898438,59.00507354736328
2003-10-11,0.17997559905052185,34.64011383056641,17.290824890136722,43.99993133544922,137.86460876464844,55.30805206298828
2003-10-21,0.2723804712295532,32.68375015258789,52.94179916381836,33.93997573852539,145.40158081054688,52.96593475341797
2003-11-01,0.3295837938785553,32.410816192626946,92.75860595703124,29.420053482055664,157.05157470703125,43.05183029174805
2003-11-11,0.30400991439819336,32.97903060913086,72.65393829345703,30.549793243408203,169.42025756835938,47.0307846069336
2003-11-21,0.31391051411628723,31.14072036743164,59.841270446777344,26.42383575439453,177.13076782226562,40.842533111572266
2003-12-01,0.3264656960964203,31.8763427734375,98.19422149658205,26.702415466308594,178.85560607910156,41.67558288574219
2003-12-11,0.3378422260284424,32.110523223876946,9.904273986816406,29.074392318725586,178.71829223632812,44.4185676574707
2003-12-21,0.25942227244377136,32.999191284179695,10.924105644226074,31.70350646972656,176.9748992919922,51.2799301147461
2004-01-01,,,,,,
2004-01-11,,,,,,
2004-01-21,,,,,,
2004-02-01,,,,,,
2004-02-11,,,,,,
2004-02-21,,,,,,
2004-03-01,,,,,,
2004-03-11,,,,,,
2004-03-21,,,,,,
2004-04-01,,,,,,
2004-04-11,,,,,,
2004-04-21,,,,,,
2004-05-01,,,,,,
2004-05-11,,,,,,
