Time,SM,TMP,P,LST,NDVI,RefET
2002-07-01,0.17531190812587738,28.093303680419922,4.103817939758302,30.617534637451172,143.8416290283203,40.5478401184082
2002-07-11,0.1915930062532425,29.12834167480469,4.057347774505615,37.74840927124024,143.84481811523438,41.63795852661133
2002-07-21,0.20549418032169345,28.401161193847656,5.34088134765625,34.88004302978516,143.07965087890625,47.09973526000977
2002-08-01,0.1978576183319092,26.7406005859375,7.354819297790527,31.94994926452637,142.34060668945312,44.896080017089844
2002-08-11,0.2048214673995972,27.24227523803711,6.064063549041747,31.94994926452637,140.7742919921875,45.76974105834961
2002-08-21,0.2172054648399353,27.731403350830078,5.615986347198486,36.43341445922852,139.79911804199222,52.60386657714844
2002-09-01,0.19752763211727145,29.637792587280273,3.44438910484314,39.39416885375977,139.55006408691406,51.25360107421875
2002-09-11,0.1975523829460144,29.435016632080078,3.145050048828125,38.479434967041016,140.7607879638672,50.86725234985352
2002-09-21,0.19449424743652344,30.08539390563965,2.9119632244110107,38.58226776123047,142.18345642089844,51.460693359375
2002-10-01,0.17187318205833435,31.888973236083984,4.052387237548828,37.44036483764648,143.79672241210938,53.555625915527344
2002-10-11,0.16218802332878113,31.615447998046875,2.9759318828582764,42.31491470336914,145.9330596923828,54.22308349609375
2002-10-21,0.18234261870384216,29.24382781982422,15.051477432250975,36.85685348510742,150.0465545654297,49.4536361694336
2002-11-01,0.28964298963546753,30.34664535522461,49.35880661010742,35.168224334716804,157.02932739257812,43.06630325317383
2002-11-11,0.3080136477947235,31.09314346313477,68.78181457519531,33.88815689086914,165.33258056640625,45.30442810058594
2002-11-21,0.2963467836380005,31.24965858459473,38.68843078613281,31.88051414489746,172.78611755371094,46.59907531738281
2002-12-01,0.2544772028923035,31.09243202209473,34.68545150756836,30.00374412536621,177.2847137451172,43.38793182373047
2002-12-11,0.2310274839401245,31.675424575805664,46.31556701660156,29.70672416687012,179.1904754638672,41.3905143737793
2002-12-21,0.3817767202854157,28.692768096923828,154.89305114746094,25.749475479125977,179.33145141601562,31.580360412597656
2003-01-01,,,,,,
2003-01-11,,,,,,
2003-01-21,,,,,,
2003-02-01,,,,,,
2003-02-11,,,,,,
2003-02-21,,,,,,
2003-03-01,,,,,,
2003-03-11,,,,,,
2003-03-21,,,,,,
2003-04-01,,,,,,
2003-04-11,,,,,,
2003-04-21,,,,,,
2003-05-01,,,,,,
2003-05-11,,,,,,
2003-05-21,,,,,,
2003-06-01,,,,,,
2003-06-11,,,,,,
2003-06-21,,,,,,
2003-07-01,,,,,,
2003-07-11,,,,,,
2003-07-21,,,,,,
2003-08-01,,,,,,
2003-08-11,,,,,,
2003-08-21,,,,,,
2003-09-01,,,,,,
2003-09-11,,,,,,
2003-09-21,,,,,,
2003-10-01,,,,,,
2003-10-11,,,,,,
2003-10-21,,,,,,
2003-11-01,,,,,,
2003-11-11,,,,,,
2003-11-21,,,,,,
2003-12-01,,,,,,
2003-12-11,,,,,,
2003-12-21,,,,,,
2004-01-01,,,,,,
2004-01-11,,,,,,
2004-01-21,,,,,,
2004-02-01,,,,,,
2004-02-11,,,,,,
2004-02-21,,,,,,
2004-03-01,,,,,,
2004-03-11,,,,,,
2004-03-21,,,,,,
2004-04-01,,,,,,
2004-04-11,,,,,,
2004-04-21,,,,,,
2004-05-01,,,,,,
2004-05-11,,,,,,
2004-05-21,,,,,,
2004-06-01,,,,,,
2004-06-11,,,,,,
2004-06-21,,,,,,
2004-07-01,,,,,,
2004-07-11,,,,,,
2004-07-21,,,,,,
2004-08-01,,,,,,
2004-08-11,,,,,,
2004-08-21,,,,,,
2004-09-01,,,,,,
2004-09-11,,,,,,
2004-09-21,,,,,,
2004-10-01,,,,,,
2004-10-11,,,,,,
2004-10-21,,,,,,
2004-11-01,,,,,,
2004-11-11,,,,,,
2004-11-21,,,,,,
2004-12-01,,,,,,
2004-12-11,,,,,,
2004-12-21,,,,,,
2005-01-01,,,,,,
2005-01-11,,,,,,
2005-01-21,,,,,,
2005-02-01,,,,,,
2005-02-11,,,,,,
2005-02-21,,,,,,
2005-03-01,,,,,,
2005-03-11,,,,,,
2005-03-21,,,,,,
2005-04-01,,,,,,
2005-04-11,,,,,,
2005-04-21,,,,,,
2005-05-01,,,,,,
2005-05-11,,,,,,
2005-05-21,,,,,,
2005-06-01,,,,,,
2005-06-11,,,,,,
2005-06-21,,,,,,
2005-07-01,,,,,,
2005-07-11,,,,,,
2005-07-21,,,,,,
2005-08-01,,,,,,
2005-08-11,,,,,,
2005-08-21,,,,,,
2005-09-01,,,,,,
2005-09-11,,,,,,
2005-09-21,,,,,,
2005-10-01,,,,,,
2005-10-11,,,,,,
2005-10-21,,,,,,
2005-11-01,,,,,,
2005-11-11,,,,,,
2005-11-21,,,,,,
2005-12-01,,,,,,
2005-12-11,,,,,,
2005-12-21,,,,,,
2006-01-01,,,,,,
2006-01-11,,,,,,
2006-01-21,,,,,,
2006-02-01,,,,,,
2006-02-11,,,,,,
2006-02-21,,,,,,
2006-03-01,,,,,,
2006-03-11,,,,,,
2006-03-21,,,,,,
2006-04-01,,,,,,
2006-04-11,,,,,,
2006-04-21,,,,,,
2006-05-01,,,,,,
2006-05-11,,,,,,
2006-05-21,,,,,,
2006-06-01,,,,,,
2006-06-11,,,,,,
2006-06-21,,,,,,
2006-07-01,,,,,,
2006-07-11,,,,,,
2006-07-21,,,,,,
2006-08-01,,,,,,
2006-08-11,,,,,,
2006-08-21,,,,,,
2006-09-01,,,,,,
2006-09-11,,,,,,
2006-09-21,,,,,,
2006-10-01,,,,,,
2006-10-11,,,,,,
2006-10-21,,,,,,
2006-11-01,,,,,,
2006-11-11,,,,,,
2006-11-21,,,,,,
2006-12-01,,,,,,
2006-12-11,,,,,,
2006-12-21,,,,,,
2007-01-01,,,,,,
2007-01-11,,,,,,
2007-01-21,,,,,,
2007-02-01,,,,,,
2007-02-11,,,,,,
2007-02-21,,,,,,
2007-03-01,,,,,,
2007-03-11,,,,,,
2007-03-21,,,,,,
2007-04-01,,,,,,
2007-04-11,,,,,,
2007-04-21,,,,,,
2007-05-01,,,,,,
2007-05-11,,,,,,
2007-05-21,,,,,,
2007-06-01,,,,,,
2007-06-11,,,,,,
2007-06-21,,,,,,
2007-07-01,,,,,,
2007-07-11,,,,,,
2007-07-21,,,,,,
2007-08-01,,,,,,
2007-08-11,,,,,,
2007-08-21,,,,,,
2007-09-01,,,,,,
2007-09-11,,,,,,
2007-09-21,,,,,,
2007-10-01,,,,,,
2007-10-11,,,,,,
2007-10-21,,,,,,
2007-11-01,,,,,,
2007-11-11,,,,,,
2007-11-21,,,,,,
2007-12-01,,,,,,
2007-12-11,,,,,,
2007-12-21,,,,,,
2008-01-01,,,,,,
2008-01-11,,,,,,
2008-01-21,,,,,,
2008-02-01,,,,,,
2008-02-11,,,,,,
2008-02-21,,,,,,
2008-03-01,,,,,,
2008-03-11,,,,,,
2008-03-21,,,,,,
2008-04-01,,,,,,
2008-04-11,,,,,,
2008-04-21,,,,,,
2008-05-01,,,,,,
2008-05-11,,,,,,
2008-05-21,,,,,,
2008-06-01,,,,,,
2008-06-11,,,,,,
2008-06-21,,,,,,
2008-07-01,,,,,,
2008-07-11,,,,,,
2008-07-21,,,,,,
2008-08-01,,,,,,
2008-08-11,,,,,,
2008-08-21,,,,,,
2008-09-01,,,,,,
2008-09-11,,,,,,
2008-09-21,,,,,,
2008-10-01,,,,,,
2008-10-11,,,,,,
2008-10-21,,,,,,
2008-11-01,,,,,,
2008-11-11,,,,,,
2008-11-21,,,,,,
2008-12-01,,,,,,
2008-12-11,,,,,,
2008-12-21,,,,,,
2009-01-01,,,,,,
2009-01-11,,,,,,
2009-01-21,,,,,,
2009-02-01,,,,,,
2009-02-11,,,,,,
2009-02-21,,,,,,
2009-03-01,,,,,,
2009-03-11,,,,,,
2009-03-21,,,,,,
2009-04-01,,,,,,
2009-04-11,,,,,,
2009-04-21,,,,,,
2009-05-01,,,,,,
2009-05-11,,,,,,
2009-05-21,,,,,,
2009-06-01,,,,,,
2009-06-11,,,,,,
2009-06-21,,,,,,
2009-07-01,,,,,,
2009-07-11,,,,,,
2009-07-21,,,,,,
2009-08-01,,,,,,
2009-08-11,,,,,,
2009-08-21,,,,,,
2009-09-01,,,,,,
2009-09-11,,,,,,
2009-09-21,,,,,,
2009-10-01,,,,,,
2009-10-11,,,,,,
2009-10-21,,,,,,
2009-11-01,,,,,,
2009-11-11,,,,,,
2009-11-21,,,,,,
2009-12-01,,,,,,
2009-12-11,,,,,,
2009-12-21,,,,,,
2010-01-01,,,,,,
2010-01-11,,,,,,
2010-01-21,,,,,,
2010-02-01,,,,,,
2010-02-11,,,,,,
2010-02-21,,,,,,
2010-03-01,,,,,,
2010-03-11,,,,,,
2010-03-21,,,,,,
2010-04-01,,,,,,
2010-04-11,,,,,,
2010-04-21,,,,,,
2010-05-01,,,,,,
2010-05-11,,,,,,
2010-05-21,,,,,,
2010-06-01,,,,,,
2010-06-11,,,,,,
2010-06-21,,,,,,
2010-07-01,,,,,,
2010-07-11,,,,,,
2010-07-21,,,,,,
2010-08-01,,,,,,
2010-08-11,,,,,,
2010-08-21,,,,,,
2010-09-01,,,,,,
2010-09-11,,,,,,
2010-09-21,,,,,,
2010-10-01,,,,,,
2010-10-11,,,,,,
2010-10-21,,,,,,
2010-11-01,,,,,,
2010-11-11,,,,,,
2010-11-21,,,,,,
2010-12-01,,,,,,
2010-12-11,,,,,,
2010-12-21,,,,,,
2011-01-01,,,,,,
2011-01-11,,,,,,
2011-01-21,,,,,,
2011-02-01,,,,,,
2011-02-11,,,,,,
2011-02-21,,,,,,
2011-03-01,,,,,,
2011-03-11,,,,,,
2011-03-21,,,,,,
2011-04-01,,,,,,
2011-04-11,,,,,,
2011-04-21,,,,,,
2011-05-01,,,,,,
2011-05-11,,,,,,
2011-05-21,,,,,,
2011-06-01,,,,,,
2011-06-11,,,,,,
2011-06-21,,,,,,
2011-07-01,,,,,,
2011-07-11,,,,,,
2011-07-21,,,,,,
2011-08-01,,,,,,
2011-08-11,,,,,,
2011-08-21,,,,,,
2011-09-01,,,,,,
2011-09-11,,,,,,
2011-09-21,,,,,,
2011-10-01,,,,,,
2011-10-11,,,,,,
2011-10-21,,,,,,
2011-11-01,,,,,,
2011-11-11,,,,,,
2011-11-21,,,,,,
2011-12-01,,,,,,
2011-12-11,,,,,,
2011-12-21,,,,,,
2012-01-01,,,,,,
2012-01-11,,,,,,
2012-01-21,,,,,,
2012-02-01,,,,,,
2012-02-11,,,,,,
2012-02-21,,,,,,
2012-03-01,,,,,,
2012-03-11,,,,,,
2012-03-21,,,,,,
2012-04-01,,,,,,
2012-04-11,,,,,,
2012-04-21,,,,,,
2012-05-01,,,,,,
2012-05-11,,,,,,
2012-05-21,,,,,,
2012-06-01,,,,,,
2012-06-11,,,,,,
2012-06-21,,,,,,
2012-07-01,,,,,,
2012-07-11,,,,,,
2012-07-21,,,,,,
2012-08-01,,,,,,
2012-08-11,,,,,,
2012-08-21,,,,,,
2012-09-01,,,,,,
2012-09-11,,,,,,
