Time,SM,TMP,P,LST,NDVI,RefET
2002-07-01,,,,,,
2002-07-11,,,,,,
2002-07-21,,,,,,
2002-08-01,,,,,,
2002-08-11,,,,,,
2002-08-21,,,,,,
2002-09-01,,,,,,
2002-09-11,,,,,,
2002-09-21,,,,,,
2002-10-01,,,,,,
2002-10-11,,,,,,
2002-10-21,,,,,,
2002-11-01,,,,,,
2002-11-11,,,,,,
2002-11-21,,,,,,
2002-12-01,,,,,,
2002-12-11,,,,,,
2002-12-21,,,,,,
2003-01-01,,,,,,
2003-01-11,,,,,,
2003-01-21,,,,,,
2003-02-01,,,,,,
2003-02-11,,,,,,
2003-02-21,,,,,,
2003-03-01,,,,,,
2003-03-11,,,,,,
2003-03-21,,,,,,
2003-04-01,,,,,,
2003-04-11,,,,,,
2003-04-21,,,,,,
2003-05-01,,,,,,
2003-05-11,,,,,,
2003-05-21,,,,,,
2003-06-01,,,,,,
2003-06-11,,,,,,
2003-06-21,,,,,,
2003-07-01,,,,,,
2003-07-11,,,,,,
2003-07-21,,,,,,
2003-08-01,,,,,,
2003-08-11,,,,,,
2003-08-21,,,,,,
2003-09-01,,,,,,
2003-09-11,,,,,,
2003-09-21,,,,,,
2003-10-01,,,,,,
2003-10-11,,,,,,
2003-10-21,,,,,,
2003-11-01,,,,,,
2003-11-11,,,,,,
2003-11-21,,,,,,
2003-12-01,,,,,,
2003-12-11,,,,,,
2003-12-21,,,,,,
2004-01-01,,,,,,
2004-01-11,,,,,,
2004-01-21,,,,,,
2004-02-01,,,,,,
2004-02-11,,,,,,
2004-02-21,,,,,,
2004-03-01,,,,,,
2004-03-11,,,,,,
2004-03-21,,,,,,
2004-04-01,,,,,,
2004-04-11,,,,,,
2004-04-21,,,,,,
2004-05-01,,,,,,
2004-05-11,,,,,,
2004-05-21,,,,,,
2004-06-01,,,,,,
2004-06-11,,,,,,
2004-06-21,,,,,,
2004-07-01,,,,,,
2004-07-11,,,,,,
2004-07-21,,,,,,
2004-08-01,,,,,,
2004-08-11,,,,,,
2004-08-21,,,,,,
2004-09-01,,,,,,
2004-09-11,,,,,,
2004-09-21,,,,,,
2004-10-01,,,,,,
2004-10-11,,,,,,
2004-10-21,,,,,,
2004-11-01,,,,,,
2004-11-11,,,,,,
2004-11-21,,,,,,
2004-12-01,,,,,,
2004-12-11,,,,,,
2004-12-21,,,,,,
2005-01-01,,,,,,
2005-01-11,,,,,,
2005-01-21,,,,,,
2005-02-01,,,,,,
2005-02-11,,,,,,
2005-02-21,,,,,,
2005-03-01,,,,,,
2005-03-11,,,,,,
2005-03-21,,,,,,
2005-04-01,,,,,,
2005-04-11,,,,,,
2005-04-21,,,,,,
2005-05-01,,,,,,
2005-05-11,,,,,,
2005-05-21,,,,,,
2005-06-01,,,,,,
2005-06-11,,,,,,
2005-06-21,,,,,,
2005-07-01,,,,,,
2005-07-11,,,,,,
2005-07-21,,,,,,
2005-08-01,,,,,,
2005-08-11,,,,,,
2005-08-21,,,,,,
2005-09-01,,,,,,
2005-09-11,,,,,,
2005-09-21,,,,,,
2005-10-01,,,,,,
2005-10-11,,,,,,
2005-10-21,,,,,,
2005-11-01,,,,,,
2005-11-11,,,,,,
2005-11-21,,,,,,
2005-12-01,,,,,,
2005-12-11,,,,,,
2005-12-21,,,,,,
2006-01-01,,,,,,
2006-01-11,,,,,,
2006-01-21,,,,,,
2006-02-01,,,,,,
2006-02-11,,,,,,
2006-02-21,,,,,,
2006-03-01,,,,,,
2006-03-11,,,,,,
2006-03-21,,,,,,
2006-04-01,,,,,,
2006-04-11,,,,,,
2006-04-21,,,,,,
2006-05-01,,,,,,
2006-05-11,,,,,,
2006-05-21,,,,,,
2006-06-01,,,,,,
2006-06-11,,,,,,
2006-06-21,,,,,,
2006-07-01,,,,,,
2006-07-11,,,,,,
2006-07-21,,,,,,
2006-08-01,,,,,,
2006-08-11,,,,,,
2006-08-21,,,,,,
2006-09-01,,,,,,
2006-09-11,,,,,,
2006-09-21,,,,,,
2006-10-01,,,,,,
2006-10-11,,,,,,
2006-10-21,,,,,,
2006-11-01,,,,,,
2006-11-11,,,,,,
2006-11-21,,,,,,
2006-12-01,,,,,,
2006-12-11,,,,,,
2006-12-21,,,,,,
2007-01-01,0.3840748220682144,23.75720691680908,10.012270212173464,21.122970581054688,163.90541076660156,41.29836082458496
2007-01-11,0.3516129553318024,24.1019983291626,13.78461980819702,21.558914184570312,165.3639144897461,37.94331741333008
2007-01-21,0.3304865211248398,25.22606468200684,30.36970520019531,24.16443920135498,166.6046600341797,49.43864059448242
2007-02-01,0.3759271949529648,26.09542179107666,27.30685520172119,23.586249351501465,167.99678802490234,39.03244400024414
2007-02-11,0.3501394093036652,26.49307155609131,16.143053531646732,25.699932098388672,169.5849609375,40.45696258544922
2007-02-21,0.3159755617380142,28.370893478393555,22.47129821777344,26.75228881835937,169.84441375732422,37.38785171508789
