Time,SM,TMP,P,LST,NDVI,RefET
2002-07-01,,,,,,
2002-07-11,,,,,,
2002-07-21,,,,,,
2002-08-01,,,,,,
2002-08-11,,,,,,
2002-08-21,,,,,,
2002-09-01,,,,,,
2002-09-11,,,,,,
2002-09-21,,,,,,
2002-10-01,,,,,,
2002-10-11,,,,,,
2002-10-21,,,,,,
2002-11-01,,,,,,
2002-11-11,,,,,,
2002-11-21,,,,,,
2002-12-01,,,,,,
2002-12-11,,,,,,
2002-12-21,,,,,,
2003-01-01,,,,,,
2003-01-11,,,,,,
2003-01-21,,,,,,
2003-02-01,,,,,,
2003-02-11,,,,,,
2003-02-21,,,,,,
2003-03-01,,,,,,
2003-03-11,,,,,,
2003-03-21,,,,,,
2003-04-01,,,,,,
2003-04-11,,,,,,
2003-04-21,,,,,,
2003-05-01,,,,,,
2003-05-11,,,,,,
2003-05-21,,,,,,
2003-06-01,,,,,,
2003-06-11,,,,,,
2003-06-21,,,,,,
2003-07-01,,,,,,
2003-07-11,,,,,,
2003-07-21,,,,,,
2003-08-01,,,,,,
2003-08-11,,,,,,
2003-08-21,,,,,,
2003-09-01,,,,,,
2003-09-11,,,,,,
2003-09-21,,,,,,
2003-10-01,,,,,,
2003-10-11,,,,,,
2003-10-21,,,,,,
2003-11-01,,,,,,
2003-11-11,,,,,,
2003-11-21,,,,,,
2003-12-01,,,,,,
2003-12-11,,,,,,
2003-12-21,,,,,,
2004-01-01,,,,,,
2004-01-11,,,,,,
2004-01-21,,,,,,
2004-02-01,,,,,,
2004-02-11,,,,,,
2004-02-21,,,,,,
2004-03-01,,,,,,
2004-03-11,,,,,,
2004-03-21,,,,,,
2004-04-01,,,,,,
2004-04-11,,,,,,
2004-04-21,,,,,,
2004-05-01,,,,,,
2004-05-11,,,,,,
2004-05-21,,,,,,
2004-06-01,,,,,,
2004-06-11,,,,,,
2004-06-21,,,,,,
2004-07-01,,,,,,
2004-07-11,,,,,,
2004-07-21,,,,,,
2004-08-01,,,,,,
2004-08-11,,,,,,
2004-08-21,,,,,,
2004-09-01,,,,,,
2004-09-11,,,,,,
2004-09-21,,,,,,
2004-10-01,,,,,,
2004-10-11,,,,,,
2004-10-21,,,,,,
2004-11-01,,,,,,
2004-11-11,,,,,,
2004-11-21,,,,,,
2004-12-01,,,,,,
2004-12-11,,,,,,
2004-12-21,,,,,,
2005-01-01,,,,,,
2005-01-11,,,,,,
2005-01-21,,,,,,
2005-02-01,,,,,,
2005-02-11,,,,,,
2005-02-21,,,,,,
2005-03-01,,,,,,
2005-03-11,,,,,,
2005-03-21,,,,,,
2005-04-01,,,,,,
2005-04-11,,,,,,
2005-04-21,,,,,,
2005-05-01,,,,,,
2005-05-11,,,,,,
2005-05-21,,,,,,
2005-06-01,,,,,,
2005-06-11,,,,,,
2005-06-21,,,,,,
2005-07-01,,,,,,
2005-07-11,,,,,,
2005-07-21,,,,,,
2005-08-01,,,,,,
2005-08-11,,,,,,
2005-08-21,,,,,,
2005-09-01,,,,,,
2005-09-11,,,,,,
2005-09-21,,,,,,
2005-10-01,,,,,,
2005-10-11,,,,,,
2005-10-21,,,,,,
2005-11-01,,,,,,
2005-11-11,,,,,,
2005-11-21,,,,,,
2005-12-01,,,,,,
2005-12-11,,,,,,
2005-12-21,,,,,,
2006-01-01,0.1664704531431198,35.652626037597656,1.2065536975860596,40.36040878295898,142.2510986328125,75.99920654296875
2006-01-11,0.1804159879684448,33.449005126953125,3.1228089332580566,37.95788955688477,139.43583679199222,65.45099639892578
2006-01-21,0.17349709570407867,35.88713836669922,0.8654677271842957,43.29747009277344,137.95176696777344,86.95269775390625
2006-02-01,0.162645161151886,37.58643341064453,2.479661464691162,44.76877212524414,136.29115295410156,87.7656021118164
2006-02-11,0.15711715817451474,35.10908889770508,2.445818424224853,41.3750228881836,134.87815856933594,70.6467514038086
2006-02-21,0.2011440545320511,34.207733154296875,10.81069278717041,42.26485443115234,135.24942016601562,46.23650741577149
2006-03-01,0.2766445279121399,33.115562438964844,39.39020538330078,38.961585998535156,138.70260620117188,55.92046737670898
2006-03-11,0.3158966302871704,32.816085815429695,23.75135803222656,38.10285186767578,145.0159454345703,60.94978332519531
2006-03-21,0.32590559124946594,32.43871688842773,36.4502067565918,39.02833938598633,153.120361328125,62.04397583007813
2006-04-01,0.31367227435112,32.960289001464844,26.99209022521973,38.51102828979492,159.28900146484375,51.5613899230957
2006-04-11,0.3370082378387451,32.074562072753906,52.64494705200195,37.22746276855469,162.7086639404297,48.80399703979492
2006-04-21,0.35100340843200684,32.08802032470703,30.339962005615234,34.742298126220696,164.60733032226562,50.30567932128906
2006-05-01,0.3390433490276337,29.970388412475586,45.45341110229492,38.24734878540039,165.6985321044922,43.37723922729492
2006-05-11,0.3639789521694183,27.827133178710934,52.1663932800293,31.6664981842041,166.5521240234375,35.52680206298828
